input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
dqQFao2oKIje2roPkcXi2QE,,Ace Roofing Service,,"72 Queen St, Brisbane City QLD 4000","{""Thursday"":[""Open 24 hours""]}",null,https://aceroofingservice.com.au/,0449168985,5R4MG2HF+WG,0,5.000000,null,-27.470199,153.023841,,,,,,Australia/Brisbane,,0x6b915bb350aa0ead:0x87199eb7af6d4b50,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
dqQFao2oKIje2roPkcXi2QE,,Queensland Roofing Pty Ltd,,"19/10 Eagle St, Brisbane City QLD 4000","{""Thursday"":[""6 am–11:30 pm""]}",null,http://www.queenslandroofing.com.au/,0489263653,5R4MG2JH+8W,0,4.500000,null,-27.469195,153.029861,,,,,,Australia/Brisbane,,0x6b915a1c671ddcfb:0x94dc543d444959fa,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
dqQFao2oKIje2roPkcXi2QE,,Vantage Point Roofing,,"4/288-292 Newmarket Rd, Wilston QLD 4051","{""Thursday"":[""7 am–5 pm""]}",null,https://vantagepointroofing.com.au/?utm_campaign=gmb,(07)35062534,5R4MH277+HV,0,4.600000,null,-27.436106,153.014686,,,,,,Australia/Brisbane,,0x6b915b1ebd65ba85:0xcb0afa0677ece782,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
dqQFao2oKIje2roPkcXi2QE,,North Brisbane Metal Roofing Pty Ltd,,"3/359 Gympie Rd P.O.B, Unit 50, Kedron QLD 4031","{""Thursday"":[""7:30 am–6 pm""]}",null,http://www.nbmr.com.au/,0498478739,5R4MH2WJ+7W,0,4.800000,null,-27.404361,153.032363,,,,,,Australia/Brisbane,,0x6b93e337c65e83f7:0x3e1e7804e0c105c7,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
