input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
eGEFatXEKZqz2roPkoHBiAI,,Trusst Roofing Pty Ltd,,"Valley Way, Mount Cotton QLD 4165","{""Thursday"":[""7 am–3 pm""]}",null,http://www.trusstroofing.com.au/,0480396909,5R4M967X+99,0,5.000000,null,-27.636568,153.248458,,,,,,Australia/Brisbane,,0x4f3145cab4504d2f:0x646927be0ed81799,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
eGEFatXEKZqz2roPkoHBiAI,,Trusted Roof Restorations,,"Mount Cotton Rd, Mount Cotton QLD 4165","{""Thursday"":[""7 am–5 pm""]}",null,http://trustedroofing.com.au/,0432254975,5R4M967Q+CF,0,5.000000,null,-27.636437,153.238745,,,,,,Australia/Brisbane,,0x6b91679fc4931811:0xde401574c4bb31d8,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
eGEFatXEKZqz2roPkoHBiAI,,Hillhouse Roof Rescue / Restoration,,"7 Cyan Pl, Redland Bay QLD 4165",{},null,http://www.brisbaneroofrestorations.net.au/,0404430463,5R4M9844+F4,0,5.000000,null,-27.643805,153.305310,,,,,,Australia/Brisbane,,0x6b916f2e58dbd8bf:0x58d37f6994166853,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
