input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
fRwEapjXJJaE2roPhpXtwAo,,Fully Detailed,,"232 Wellington Rd, Kangaroo Point QLD 4169","{""Wednesday"":[""9 am–10 pm""]}",null,https://www.fullydetailed.au/,0415971872,5R4MG2CR+HG,0,4.900000,null,-27.478611,153.041326,,,,,,Australia/Brisbane,,0x6b915b9fec0c4ca5:0xdf07a25bc2d1ece4,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
fRwEapjXJJaE2roPhpXtwAo,,Elite Detail Co.,,"66 Washington Ave, Tingalpa QLD 4173","{""Wednesday"":[""7 am–6 pm""]}",null,https://www.elitedetailco.com.au/,0448127116,5R4MG4FC+FW,0,5.000000,null,-27.476295,153.122286,,,,,,Australia/Brisbane,,0x6b915ffec1e44f5f:0x47925774d8839be5,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
fRwEapjXJJaE2roPhpXtwAo,,Obsidian Mobile Car Detailing Brisbane,,"Rogers Parade W, Everton Park QLD 4053","{""Wednesday"":[""7 am–7 pm""]}",null,https://www.obsidiandetailing.com.au/,0448242660,5R4JJX5H+FJ,0,5.000000,null,-27.391350,152.979081,,,,,,Australia/Brisbane,,0x6b915736110c9d43:0x6ebcc0923a1ba772,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
