input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
_YcFar2WJvHh2roPysvx8QE,,Perth Roofing & Gutters,,"9/71 Parry St, Perth WA 6000","{""Thursday"":[""8 am–5 pm""]}",null,https://www.perthroofingandgutters.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(08)62451204,4PWQ3V29+GC,0,4.700000,null,-31.948744,115.868506,,,,,,Australia/Perth,,0x2a32bad95d90b60b:0x296740e9f50b5a59,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,Prime Roofing and Gutters,,"Level 25/1 Spring St, Perth WA 6000","{""Thursday"":[""8:30 am–6 pm""]}",null,https://www.primeroofingperth.com/,0489076877,4PWQ2VW2+34,0,4.900000,null,-31.954822,115.850335,,,,,,Australia/Perth,,0xaf3b0486fc809b6f:0x5a7f5e0cef718629,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,SOS Roofing,,"Chaucer St, Yokine WA 6060","{""Thursday"":[""7 am–6 pm""]}",null,https://www.sos-roofing.com.au/,(08)62855700,4PWQ3VV4+WP,0,4.600000,null,-31.905160,115.856838,,,,,,Australia/Perth,,0x875f805443d4e56d:0xa2eba4eb4b7eb5ba,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,Perth Local Roofers,,"443A Cambridge St, Floreat WA 6014","{""Thursday"":[""Open 24 hours""]}",null,https://perthlocalroofers.com.au/,(08)75628884,4PWQ3R52+GJ,0,5.000000,null,-31.941126,115.801609,,,,,,Australia/Perth,,0x2a32a5c27ce813dd:0x6a53bc65d1542d26,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,Powerdrive Roofing,,,"{""Thursday"":[""5 am–7 pm""]}",null,https://powerdriveroofing.com.au/,0421768842,4PWQ2WVJ+8W,0,4.900000,null,-31.956645,115.932308,,,,,,Australia/Perth,,0x2bcd53c64719a25b:0x39dee1fc49802cfe,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,Perth Re-Roofing,,"6/83 Hector St W, Osborne Park WA 6017","{""Thursday"":[""8 am–5 pm""]}",null,https://www.perthreroofing.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(08)65566600,4PWQ3RX9+C5,0,5.000000,null,-31.901391,115.817885,,,,,,Australia/Perth,,0x2da32cc24e05500f:0x248afc17ce45c584,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,Prompt Roofing,,"U2/54 O'Malley St, Osborne Park WA 6017","{""Thursday"":[""7 am–5 pm""]}",null,http://www.promptroofing.com.au/,0433210028,4PWQ3RX7+P9,0,4.800000,null,-31.900727,115.813495,,,,,,Australia/Perth,,0x2a32afd3575b324d:0xb8e76c6227d746ca,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
_YcFar2WJvHh2roPysvx8QE,,Virtue Roofing WA Pty Ltd,,"Unit 4/41 Sarich Ct, Osborne Park WA 6017","{""Thursday"":[""8:30 am–4 pm""]}",null,https://virtueroofing.com.au/,(08)65568853,4PWQ4R36+28,0,5.000000,null,-31.897493,115.810813,,,,,,Australia/Perth,,0x82f6e83428987831:0xd87607388bf96ef3,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
