input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
LvIFaoO9DNDk2roP-suE0QE,,Ace Roofing Service,,"72 Queen St, Brisbane City QLD 4000","{""Friday"":[""Open 24 hours""]}",null,https://aceroofingservice.com.au/,0449168985,5R4MG2HF+WG,0,5.000000,null,-27.470199,153.023841,,,,,,Australia/Brisbane,,0x6b915bb350aa0ead:0x87199eb7af6d4b50,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,Queensland Roofing Pty Ltd,,"19/10 Eagle St, Brisbane City QLD 4000","{""Friday"":[""6 am–11:30 pm""]}",null,http://www.queenslandroofing.com.au/,0489263653,5R4MG2JH+8W,0,4.500000,null,-27.469195,153.029861,,,,,,Australia/Brisbane,,0x6b915a1c671ddcfb:0x94dc543d444959fa,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,Pro Roof Restoration Brisbane,,"Riparian Plaza, 36/71 Eagle St, Brisbane City QLD 4000","{""Friday"":[""9 am–5:30 am""]}",null,https://www.proroofrestorationbrisbane.com.au/,(07)30628404,5R4MG2JJ+P5,0,5.000000,null,-27.468170,153.030474,,,,,,Australia/Brisbane,,0x6b915a1c4f662a4b:0xf1fc2ddf2ead9c8f,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,Roo Roofing,,"79 Cambridge St, Coorparoo QLD 4151","{""Friday"":[""9 am–5:30 pm""]}",null,http://www.rooroofing.com.au/,1300734148,5R4MG362+CW,0,4.600000,null,-27.488879,153.052350,,,,,,Australia/Brisbane,,0x6b915a37a308e857:0xcbcbbb6509997baf,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,Rapid Roof Solutions,,"28 Gallway St, Windsor QLD 4030","{""Friday"":[""8 am–4 pm""]}",null,https://rapidroofsolutions.com.au/,0474461788,5R4MH26M+42,0,5.000000,null,-27.439713,153.032596,,,,,,Australia/Brisbane,,0x607fd9a4d61a1143:0x7a7b3afdc5a895fc,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,Vantage Point Roofing,,"4/288-292 Newmarket Rd, Wilston QLD 4051","{""Friday"":[""7 am–5 pm""]}",null,https://vantagepointroofing.com.au/?utm_campaign=gmb,(07)35062534,5R4MH277+HV,0,4.600000,null,-27.436106,153.014686,,,,,,Australia/Brisbane,,0x6b915b1ebd65ba85:0xcb0afa0677ece782,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,North Brisbane Metal Roofing Pty Ltd,,"3/359 Gympie Rd P.O.B, Unit 50, Kedron QLD 4031","{""Friday"":[""7:30 am–6 pm""]}",null,http://www.nbmr.com.au/,0498478739,5R4MH2WJ+7W,0,4.800000,null,-27.404361,153.032363,,,,,,Australia/Brisbane,,0x6b93e337c65e83f7:0x3e1e7804e0c105c7,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
LvIFaoO9DNDk2roP-suE0QE,,Hytek Roofing,,"5 Barellan St, Stafford QLD 4053","{""Friday"":[""9 am–5 pm""]}",null,http://hytekroofing.com.au/,0434136338,5R4MH2V4+MG,0,4.800000,null,-27.405759,153.006281,,,,,,Australia/Brisbane,,0x6b838546a8666e51:0x9dec04bd253dacaf,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
