input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
kYsFatH4Jabi2roPg9OO8AE,,Australian Home Roofing,,"3/241 Pirie St, Adelaide SA 5000","{""Thursday"":[""9 am–6 pm""]}",null,https://adelaideroofingexpert.com.au/,0412199149,4QQW3JF5+QF,0,4.900000,null,-34.925574,138.608697,,,,,,Australia/Adelaide,,0x6ab0cf13d68d5181:0xc5bbf931f91178e4,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Metro Roofing Adelaide,,"Crowther St, Adelaide SA 5067","{""Thursday"":[""9 am–5 pm""]}",null,http://www.metroroof.com.au/,(08)70819282,4QQW3HFR+2C,0,4.900000,null,-34.927393,138.591106,,,,,,Australia/Adelaide,,0x6ab0c98dfa705725:0xc2362f12b10c45e3,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Roof & Render SA,,"279 Grote St, Adelaide SA 5000","{""Thursday"":[""9 am–5 pm""]}",null,https://www.roofandrender.com.au/,(08)83269696,4QQW3HCQ+3G,0,5.000000,null,-34.929868,138.588800,,,,,,Australia/Adelaide,,0x6ab0cfaf0533c417:0xe1444406302267f8,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Roofers Of Adelaide,,"6/26-42 Queen St, Thebarton SA 5031","{""Thursday"":[""8 am–5 pm""]}",null,https://www.roofersofadelaide.au/,(08)84729229,4QQW3HQC+9P,0,5.000000,null,-34.911624,138.571767,,,,,,Australia/Adelaide,,0x6ab0cfd2d8c0ec3f:0xbf659323f6469564,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Adelaide Roofs,,"239 Magill Rd, Maylands SA 5069","{""Thursday"":[""Open 24 hours""]}",null,https://adelaideroofs.com.au/,0440133550,4QQW3JPQ+6C,0,4.700000,null,-34.914468,138.638604,,,,,,Australia/Adelaide,,0x6ab0c9310e71e609:0x450753f8da60dc7d,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Master Roofing Adelaide - Roof Repairs & Restoration Specialist in Adelaide,,"97 Daws Rd, Clovelly Park SA 5042","{""Thursday"":[""Open 24 hours""]}",null,https://masterroofingadelaide.com.au/,(08)80043694,4QQW2H4C+M5,0,4.900000,null,-34.993285,138.570418,,,,,,Australia/Adelaide,,0x6ab0d173aaa9b3f9:0x123eacdcb93a4ddf,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Hindmarsh Roofing,,"781 Port Rd, Woodville SA 5011","{""Thursday"":[""8:30 am–5 pm""]}",null,http://www.hindmarshroofing.com.au/,(08)82681600,4QQW4G9P+PF,0,4.800000,null,-34.880736,138.536134,,,,,,Australia/Adelaide,,0x6ab0c66d9ed4e763:0xf2f3e46829c4b139,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Local Roof Care,,,"{""Thursday"":[""Open 24 hours""]}",null,http://localroofcare.com.au/,0421180155,4QPWXJX6+MF,0,4.800000,null,-35.000767,138.611160,,,,,,Australia/Adelaide,,0x6ab0c75bc8a2bb9f:0x2f64ee897155bc1a,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
kYsFatH4Jabi2roPg9OO8AE,,Roof Care SA,,"13 Park Terrace, Oakden SA 5086","{""Thursday"":[""Open 24 hours""]}",null,http://roofcaresa.com.au/,0433970541,4QQW4JXX+R6,0,4.600000,null,-34.850413,138.648071,,,,,,Australia/Adelaide,,0x6ab0b570dadd3919:0xe502afc37c5c3cf,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
