input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
1oYEaq61LZ_g2roPt_3owQQ,,DHPainting,,"Suite 2/79 Merthyr Rd, New Farm QLD 4005","{""Thursday"":[""8 am–5 pm""]}",null,https://www.dhpainting.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB&utm_content=GMB,(07)33957930,5R4MG2MW+2F,0,4.900000,null,-27.467494,153.046173,,,,,,Australia/Brisbane,,0x6b9159767f6736af:0x8e77ea04677f4b00,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1oYEaq61LZ_g2roPt_3owQQ,,DC Decorators & Painters Brisbane,,"17 Gibbon St, Woolloongabba QLD 4102","{""Thursday"":[""6 am–10 pm""]}",null,https://www.dcdecorators.com.au/,0406634769,5R4MG26M+WV,0,5.000000,null,-27.487653,153.034734,,,,,,Australia/Brisbane,,0x6b915b9780c55c47:0xeefd7ca62d50eb62,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1oYEaq61LZ_g2roPt_3owQQ,,Diamond Brothers Painting,,"Shop 2/174 Cavendish Rd, Coorparoo QLD 4151","{""Thursday"":[""8 am–5 pm""]}",null,https://diamondbrothers.com.au/,1800772774,5R4MG345+4R,0,4.900000,null,-27.494627,153.059575,,,,,,Australia/Brisbane,,0x6b9145ef9f4c301b:0xa80086d39a66c26a,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1oYEaq61LZ_g2roPt_3owQQ,,ROCHELE Painting | Brisbane Painters,,"201 Sandgate Rd, Albion QLD 4010","{""Thursday"":[""7:30 am–4:30 pm""]}",null,https://www.rochele.com.au/?utm_source=Google&utm_medium=gmb&utm_campaign=seo,(07)32628233,5R4MH29V+84,0,4.800000,null,-27.431704,153.042776,,,,,,Australia/Brisbane,,0x6b9159b6e74d6f2d:0x9184d64e6316dd8c,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1oYEaq61LZ_g2roPt_3owQQ,,Priority Painting Brisbane,,"27a Ure St, Hendra QLD 4011","{""Thursday"":[""Open 24 hours""]}",null,https://prioritypainting.com.au/,(07)48025070,5R4MH3HH+34,0,5.000000,null,-27.422320,153.077854,,,,,,Australia/Brisbane,,0x4845374d94673e33:0xfe583a75ed613a8f,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1oYEaq61LZ_g2roPt_3owQQ,,GB Painters,,"1 Gadara St, Hendra QLD 4011","{""Thursday"":[""Open 24 hours""]}",null,https://www.gbpainters.com.au/,0413958596,5R4MH3JF+QM,0,4.900000,null,-27.418006,153.074129,,,,,,Australia/Brisbane,,0x6b9159aada13bb2f:0x712e2066013e4d3b,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1oYEaq61LZ_g2roPt_3owQQ,,Brisbane Professional Painters,,"48 Violet St, Hemmant QLD 4174","{""Thursday"":[""7 am–5 pm""]}",null,https://brisbaneprofessionalpainters.com.au/,0411717176,5R4MH42F+X6,0,5.000000,null,-27.447601,153.123034,,,,,,Australia/Brisbane,,0x6b915f3403c130eb:0xda55e2c13be89437,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
